Name,Easting,Northing,Date,Na23 (ug/L),Mg24 (2+) (ug/L),K39 (ug/L),Ca40 (2+) (ug/L),F- (umoles/L),Cl- (umoles/L),NO2- (umoles/L),Br- (umoles/L),NO3- (umoles/L),PO4 (umoles/L),SO4 (umoles/L),Ca+Mg mg/L,original alk w/Ca+Mg fill (mg/L)
Oak,380528,4059913,6/25/2018,6009.105583,31415.65,2113.756,51228.587,10.155,292.009,4.198,1.87,45.361,0,702.598,82.644,238
Oak,380528,4059913,7/14/2018,7159.194159,33674.318,2877.216,50461.092,9.463,306.058,0,1.362,47.91,0,735.494,84.135,216
Oak,380528,4059913,8/4/2018,7327.20126,34462.74765,4059.536943,52543.00688,21.60001799,292.5411322,0,11.0343463,52.04729397,0,681.5245215,87.006,200
Oak,380528,4059913,8/31/2018,8744.898997,32526.56534,4142.402123,50626.32271,20.77730497,323.1251434,1.688142003,10.64522851,110.5585333,0,674.8062815,83.153,220
Oak,380528,4059913,10/13/2018,7260.196021,34989.79411,4168.906631,50154.59887,21.161065,284.7748444,0,10.07943634,52.93811719,0,675.4509158,85.144,180
Oak,380528,4059913,11/11/2018,7604.871193,32533.38946,2524.642814,58402.80086,22.19586918,308.8616074,BDL,15.05357034,55.1472903,BDL,700.3031475,90.936,262.0181058
Oak,380528,4059913,12/17/2018,6293.73944,32478.01257,2319.027043,51591.38226,20.97066312,307.4632401,BDL,13.76895236,58.82692368,BDL,731.9454657,84.069,198
Oquer,388757,4042981,6/28/2018,1063.871551,4690.295,922.961,35346.365,2.927,19.333,0,0,6.61,8.265,16.665,40.037,136
Oquer,388757,4042981,7/17/2018,1335.808342,5133.89,1904.025,41363.729,3.676,57.767,2.638,0,53.619,4.958,22.472,46.498,166
Oquer,388757,4042981,8/4/2018,1688.551238,4541.611311,3796.474552,33337.14824,3.817280485,29.67632412,0,0,33.38419564,9.290677995,18.54456295,37.879,148
Oquer,388757,4042981,11/11/2018,1251.418567,6347.432898,1284.463221,43419.67103,5.625266236,21.41837191,BDL,BDL,8.72295481,9.159767513,23.6784352,49.767,209
Parisawampitts,381962,4030563,5/25/2018,1562.847743,29016.325,431.787,65402.195,5.036,38.688,0,0,0,3.428,26.869,94.419,260
Parisawampitts,381962,4030563,6/26/2018,1579.952083,32958.931,421.321,66258.471,5.55,46.105,0.951,0,8.646,1.489,30.073,99.217,330
Parisawampitts,381962,4030563,7/13/2018,1502.973177,36559.36,245.089,74001.225,5.276,48.416,0,0,0,0,30.857,110.561,320
Parisawampitts,381962,4030563,8/5/2018,1929.44532,38310.301,1773.566089,65337.66949,5.863555252,38.5787572,26.7854754,2.230309307,13.12473841,4.507907863,28.01703462,103.648,318
Parisawampitts,381962,4030563,9/1/2018,2117.679954,36982.57954,2236.685351,66578.41292,5.792708234,39.29805239,0,2.167010539,2.071100405,4.593780364,27.35447105,103.561,344
Parisawampitts,381962,4030563,10/13/2018,2096.449776,22256.71875,2379.268737,51105.26742,5.133010818,37.93911739,0,0,19.9952558,5.763041357,24.16744611,73.362,200
Parisawampitts,381962,4030563,11/10/2018,1650.893232,32919.93198,495.9892018,65722.69179,7.552882898,40.43373943,BDL,3.838022345,7.42180475,6.419971583,29.21152768,98.643,308
